CUST_NO,VTG,AGETIER,EDUCATION_DESC,GENDER,EOP_BAL_CS,MTH_AVG_BAL_CS,MTH6_AVG_BAL_CS,DELTA_FUNDING_BALANCE,MTH_AVG_BAL_IDR,MTH6_AVG_BAL_IDR,DELTA_FUNDING_BALANCE_TD,AVG_CREDIT_3MTH,SUM_CREDIT_LESS_3MIL,SUM_CREDIT_ZERO,DELTA_CREDIT_MUTATION,DELTA_DEBIT_MUTATION,AVG_DEBIT_3MTH,CUST_SEGMENT_AVG,DELTA_CUST_SEG,L_COLL,BAD_TAG
5558036.8,6-10 th,21-30 th,SMA,P,64964.36,2834590.55,18026994.98,2448215.493,2834590.55,18026994.98,2448215.493,80124559.14,0,0,155421172.7,82773993.49,81485328.88,5,0,0,0
5573833.2,6-10 th,31-40 th,SMA,P,2051567.71,669874.96,487944.88,22404.48,669874.96,487944.88,22404.48,5369234.667,0,0,2683835.333,2757349.333,5274066.667,5,0,0,0
5566035.2,6-10 th,21-30 th,SMA,P,1749784.32,2197472.55,1633047.887,-1663850.697,2197472.55,1633047.887,-1663850.697,8750241.053,0,0,-3411796.053,-3121751.713,8804311.713,5,0,0,0
5603388.8,6-10 th,21-30 th,SMA,L,2579446.46,242005.49,256396.0667,-47802.67667,242005.49,256396.0667,-47802.67667,4513689.333,0,0,-1462665.333,-2227777.667,4233942.667,5,0,0,0
5619981.2,5 th,41-50 th,AKADEMI,P,351855.32,1900312.63,2158903.72,1604694.36,1900312.63,2158903.72,1604694.36,1451611.7,3,0,1050366.18,-364441.3333,2467441.333,5,0,0,0
5623658.4,5 th,21-30 th,SMA,L,5342088.71,2876030.85,2604548.1,-2719816.693,2876030.85,2604548.1,-2719816.693,24078792.29,0,0,-20367066.82,-17604577,23629724.33,5,1,0,0
5630583.4,5 th,21-30 th,UNIVERSITAS,P,9621179.93,10742990.89,6261227.655,-5379648.997,10742990.89,6261227.655,-5379648.997,21026074.7,1,0,-16673295.02,-15285926.89,19518916.89,4,0,0,0
5648690.6,5 th,31-40 th,UNIVERSITAS,P,2222199.4,236932.3,245606.5833,731329.5567,236932.3,245606.5833,731329.5567,7428106.667,0,0,-1528106.667,-798466.6667,6705966.667,5,0,0,0
5698105,5 th,21-30 th,SMA,P,6692872.63,4396996.43,2484294.112,799440.4767,4396996.43,2484294.112,799440.4767,11795505.81,0,0,4729447.267,1903342.333,11518888.67,5,1,0,0
5698105.6,5 th,31-40 th,SMA,L,22538594.07,15424014.4,9072465.913,-5683415.95,15424014.4,9072465.913,-5683415.95,17560500.59,0,0,-12888266.58,-3121134.823,11084355.78,4,0,0,0
